query_id,query_text,tau_method,rank,cve_id,title,score
1,integer overflow leading to heap corruption in video codec,Cosine,22,CVE-2006-3935,(no title),0.852349
1,integer overflow leading to heap corruption in video codec,Cosine,23,CVE-2022-31022,Missing Role Based Access Control for the REST handlers in bleve/http package,0.852280
1,integer overflow leading to heap corruption in video codec,Cosine,24,CVE-2025-27092,Path Traversal Vulnerability in GHOSTS Photo Retrieval Endpoint,0.851717
1,integer overflow leading to heap corruption in video codec,Cosine,25,CVE-2020-15843,(no title),0.851640
1,integer overflow leading to heap corruption in video codec,hybrid,1,CVE-2025-14740,Docker Desktop for Windows Incorrect Permission Assignment Privilege Escalation Vulnerabilities,0.912817
1,integer overflow leading to heap corruption in video codec,hybrid,2,CVE-2026-32892,OS Command Injection in Chamilo LMS 1.11.36,0.906760
1,integer overflow leading to heap corruption in video codec,hybrid,3,CVE-2025-40362,ceph: fix multifs mds auth caps issue,0.903464
1,integer overflow leading to heap corruption in video codec,hybrid,4,CVE-2026-32310,Cryptomator: Unverified masterkeyfile key IDs can access arbitrary local or UNC paths,0.902631
1,integer overflow leading to heap corruption in video codec,hybrid,5,CVE-2025-62156,argo-workflows Zip Slip path traversal allows arbitrary file write and container configuration overwrite,0.902397
1,integer overflow leading to heap corruption in video codec,hybrid,6,CVE-2022-23653,B2 Command Line Tool TOCTOU application key disclosure ,0.901813
1,integer overflow leading to heap corruption in video codec,hybrid,7,CVE-2020-5846,(no title),0.898932
1,integer overflow leading to heap corruption in video codec,hybrid,8,CVE-2026-3335,Canto <= 3.1.1 - Missing Authorization to Unauthenticated File Upload,0.898012
1,integer overflow leading to heap corruption in video codec,hybrid,9,CVE-2019-9745,(no title),0.897096
1,integer overflow leading to heap corruption in video codec,hybrid,10,CVE-2025-45582,(no title),0.896963
1,integer overflow leading to heap corruption in video codec,hybrid,11,CVE-2025-66480,Wildfire has Arbitrary File Upload via Directory Traversal in UploadFileAction,0.896890
1,integer overflow leading to heap corruption in video codec,hybrid,12,CVE-2026-24046,Backstage has a Possible Symlink Path Traversal in Scaffolder Actions,0.896000
1,integer overflow leading to heap corruption in video codec,hybrid,13,CVE-2023-41044,Partial path traversal vulnerability in Support Bundle feature of Graylog,0.895618
1,integer overflow leading to heap corruption in video codec,hybrid,14,CVE-2022-31195,Path traversal vulnerability in Simple Archive Format package import in DSpace,0.894882
1,integer overflow leading to heap corruption in video codec,hybrid,15,CVE-2026-33663,n8n Vulnerable to Credential Theft via Name-Based Resolution and Permission Checker Bypass in Community Edition,0.894410
1,integer overflow leading to heap corruption in video codec,hybrid,16,CVE-2020-6754,(no title),0.894297
1,integer overflow leading to heap corruption in video codec,hybrid,17,CVE-2023-50260,Wazuh's vulnerability in host_deny AR script allows arbitrary command execution,0.894113
1,integer overflow leading to heap corruption in video codec,hybrid,18,CVE-2007-0345,(no title),0.894039
1,integer overflow leading to heap corruption in video codec,hybrid,19,CVE-2021-32635,Action Commands (run/shell/exec) Against Library URIs Ignore Configured Remote Endpoint,0.893889
1,integer overflow leading to heap corruption in video codec,hybrid,20,CVE-2006-3935,(no title),0.893672
1,integer overflow leading to heap corruption in video codec,hybrid,21,CVE-2022-31022,Missing Role Based Access Control for the REST handlers in bleve/http package,0.893636
1,integer overflow leading to heap corruption in video codec,hybrid,22,CVE-2025-27092,Path Traversal Vulnerability in GHOSTS Photo Retrieval Endpoint,0.893209
1,integer overflow leading to heap corruption in video codec,hybrid,23,CVE-2020-15843,(no title),0.893146
1,integer overflow leading to heap corruption in video codec,hybrid,24,CVE-2007-6495,(no title),0.892911
1,integer overflow leading to heap corruption in video codec,hybrid,25,CVE-2026-24070,Local Privilege Escalation via DYLIB Injection in Native Instruments Native Access,0.892840
1,integer overflow leading to heap corruption in video codec,taumode,1,CVE-2025-14740,Docker Desktop for Windows Incorrect Permission Assignment Privilege Escalation Vulnerabilities,0.949104
1,integer overflow leading to heap corruption in video codec,taumode,2,CVE-2026-32892,OS Command Injection in Chamilo LMS 1.11.36,0.945599
1,integer overflow leading to heap corruption in video codec,taumode,3,CVE-2025-40362,ceph: fix multifs mds auth caps issue,0.943656
1,integer overflow leading to heap corruption in video codec,taumode,4,CVE-2026-32310,Cryptomator: Unverified masterkeyfile key IDs can access arbitrary local or UNC paths,0.943074
1,integer overflow leading to heap corruption in video codec,taumode,5,CVE-2025-62156,argo-workflows Zip Slip path traversal allows arbitrary file write and container configuration overwrite,0.943039
1,integer overflow leading to heap corruption in video codec,taumode,6,CVE-2022-23653,B2 Command Line Tool TOCTOU application key disclosure ,0.942722
1,integer overflow leading to heap corruption in video codec,taumode,7,CVE-2020-5846,(no title),0.941016
1,integer overflow leading to heap corruption in video codec,taumode,8,CVE-2026-3335,Canto <= 3.1.1 - Missing Authorization to Unauthenticated File Upload,0.940506
1,integer overflow leading to heap corruption in video codec,taumode,9,CVE-2019-9745,(no title),0.939960
1,integer overflow leading to heap corruption in video codec,taumode,10,CVE-2025-45582,(no title),0.939853
1,integer overflow leading to heap corruption in video codec,taumode,11,CVE-2025-66480,Wildfire has Arbitrary File Upload via Directory Traversal in UploadFileAction,0.939836
1,integer overflow leading to heap corruption in video codec,taumode,12,CVE-2026-24046,Backstage has a Possible Symlink Path Traversal in Scaffolder Actions,0.939275
1,integer overflow leading to heap corruption in video codec,taumode,13,CVE-2023-41044,Partial path traversal vulnerability in Support Bundle feature of Graylog,0.939080
1,integer overflow leading to heap corruption in video codec,taumode,14,CVE-2022-31195,Path traversal vulnerability in Simple Archive Format package import in DSpace,0.938669
1,integer overflow leading to heap corruption in video codec,taumode,15,CVE-2020-6754,(no title),0.938338
1,integer overflow leading to heap corruption in video codec,taumode,16,CVE-2026-33663,n8n Vulnerable to Credential Theft via Name-Based Resolution and Permission Checker Bypass in Community Edition,0.938324
1,integer overflow leading to heap corruption in video codec,taumode,17,CVE-2023-50260,Wazuh's vulnerability in host_deny AR script allows arbitrary command execution,0.938216
1,integer overflow leading to heap corruption in video codec,taumode,18,CVE-2007-0345,(no title),0.938152
1,integer overflow leading to heap corruption in video codec,taumode,19,CVE-2021-32635,Action Commands (run/shell/exec) Against Library URIs Ignore Configured Remote Endpoint,0.938092
1,integer overflow leading to heap corruption in video codec,taumode,20,CVE-2006-3935,(no title),0.937948
1,integer overflow leading to heap corruption in video codec,taumode,21,CVE-2022-31022,Missing Role Based Access Control for the REST handlers in bleve/http package,0.937946
1,integer overflow leading to heap corruption in video codec,taumode,22,CVE-2025-27092,Path Traversal Vulnerability in GHOSTS Photo Retrieval Endpoint,0.937665
1,integer overflow leading to heap corruption in video codec,taumode,23,CVE-2020-15843,(no title),0.937617
1,integer overflow leading to heap corruption in video codec,taumode,24,CVE-2007-6495,(no title),0.937519
1,integer overflow leading to heap corruption in video codec,taumode,25,CVE-2023-52137,GitHub Action tj-actions/verify-changed-files is vulnerable to command injection in output filenames,0.937448
2,symlink attack in installer cleanup routine,Cosine,1,CVE-2018-12182,(no title),0.841674
2,symlink attack in installer cleanup routine,Cosine,2,CVE-2018-12179,(no title),0.839403
2,symlink attack in installer cleanup routine,Cosine,3,CVE-2018-3955,(no title),0.835667
2,symlink attack in installer cleanup routine,Cosine,4,CVE-2018-3954,(no title),0.835107
2,symlink attack in installer cleanup routine,Cosine,5,CVE-2018-3613,(no title),0.833469
2,symlink attack in installer cleanup routine,Cosine,6,CVE-2024-29855,(no title),0.831203
2,symlink attack in installer cleanup routine,Cosine,7,CVE-2018-3953,(no title),0.829045
2,symlink attack in installer cleanup routine,Cosine,8,CVE-2021-27608,(no title),0.828910
2,symlink attack in installer cleanup routine,Cosine,9,CVE-2018-12180,(no title),0.827833
2,symlink attack in installer cleanup routine,Cosine,10,CVE-2022-30316,(no title),0.827624
2,symlink attack in installer cleanup routine,Cosine,11,CVE-2023-39903,(no title),0.827431
2,symlink attack in installer cleanup routine,Cosine,12,CVE-2022-30314,(no title),0.827212
2,symlink attack in installer cleanup routine,Cosine,13,CVE-2018-12183,(no title),0.826951
2,symlink attack in installer cleanup routine,Cosine,14,CVE-2025-34234,Vasion Print (formerly PrinterLogic) Hardcoded Encryption Private Keys,0.824532
2,symlink attack in installer cleanup routine,Cosine,15,CVE-2022-30318,(no title),0.823661
2,symlink attack in installer cleanup routine,Cosine,16,CVE-2024-43659,Plaintext default credentials in firmware,0.823001
2,symlink attack in installer cleanup routine,Cosine,17,CVE-2022-30317,(no title),0.822762
2,symlink attack in installer cleanup routine,Cosine,18,CVE-2016-8344,(no title),0.821334
2,symlink attack in installer cleanup routine,Cosine,19,CVE-2022-22445,(no title),0.819983
2,symlink attack in installer cleanup routine,Cosine,20,CVE-2020-15851,(no title),0.819534
2,symlink attack in installer cleanup routine,Cosine,21,CVE-2019-6609,(no title),0.819493
2,symlink attack in installer cleanup routine,Cosine,22,CVE-2018-3701,(no title),0.819304
2,symlink attack in installer cleanup routine,Cosine,23,CVE-2022-30315,(no title),0.818699
2,symlink attack in installer cleanup routine,Cosine,24,CVE-2021-45839,(no title),0.818664
2,symlink attack in installer cleanup routine,Cosine,25,CVE-2018-6693,Endpoint Security for Linux Threat Prevention (ENSLTP) privilege escalation vulnerability,0.818435
2,symlink attack in installer cleanup routine,hybrid,1,CVE-2018-12182,(no title),0.885938
2,symlink attack in installer cleanup routine,hybrid,2,CVE-2018-12179,(no title),0.884312
2,symlink attack in installer cleanup routine,hybrid,3,CVE-2018-3955,(no title),0.881572
2,symlink attack in installer cleanup routine,hybrid,4,CVE-2024-29855,(no title),0.878456
2,symlink attack in installer cleanup routine,hybrid,5,CVE-2018-3953,(no title),0.876803
2,symlink attack in installer cleanup routine,hybrid,6,CVE-2021-27608,(no title),0.876798
2,symlink attack in installer cleanup routine,hybrid,7,CVE-2018-12180,(no title),0.875937
2,symlink attack in installer cleanup routine,hybrid,8,CVE-2022-30316,(no title),0.875843
2,symlink attack in installer cleanup routine,hybrid,9,CVE-2023-39903,(no title),0.875700
2,symlink attack in installer cleanup routine,hybrid,10,CVE-2022-30314,(no title),0.875554
2,symlink attack in installer cleanup routine,hybrid,11,CVE-2018-12183,(no title),0.875281
2,symlink attack in installer cleanup routine,hybrid,12,CVE-2025-34234,Vasion Print (formerly PrinterLogic) Hardcoded Encryption Private Keys,0.873546
2,symlink attack in installer cleanup routine,hybrid,13,CVE-2022-30318,(no title),0.873020
2,symlink attack in installer cleanup routine,hybrid,14,CVE-2024-43659,Plaintext default credentials in firmware,0.872555
2,symlink attack in installer cleanup routine,hybrid,15,CVE-2022-30317,(no title),0.872360
2,symlink attack in installer cleanup routine,hybrid,16,CVE-2018-3954,(no title),0.871790
2,symlink attack in installer cleanup routine,hybrid,17,CVE-2016-8344,(no title),0.871267
2,symlink attack in installer cleanup routine,hybrid,18,CVE-2022-22445,(no title),0.870346
2,symlink attack in installer cleanup routine,hybrid,19,CVE-2019-6609,(no title),0.870021
2,symlink attack in installer cleanup routine,hybrid,20,CVE-2020-15851,(no title),0.870017
2,symlink attack in installer cleanup routine,hybrid,21,CVE-2018-3701,(no title),0.869845
2,symlink attack in installer cleanup routine,hybrid,22,CVE-2022-30315,(no title),0.869461
2,symlink attack in installer cleanup routine,hybrid,23,CVE-2021-45839,(no title),0.869410
2,symlink attack in installer cleanup routine,hybrid,24,CVE-2025-66005,Lack of Authentication in the InputManager D-Bus interface,0.869166
2,symlink attack in installer cleanup routine,hybrid,25,CVE-2018-6693,Endpoint Security for Linux Threat Prevention (ENSLTP) privilege escalation vulnerability,0.869145
2,symlink attack in installer cleanup routine,taumode,1,CVE-2018-12182,(no title),0.933364
2,symlink attack in installer cleanup routine,taumode,2,CVE-2018-12179,(no title),0.932428
2,symlink attack in installer cleanup routine,taumode,3,CVE-2018-3955,(no title),0.930756
2,symlink attack in installer cleanup routine,taumode,4,CVE-2024-29855,(no title),0.929084
2,symlink attack in installer cleanup routine,taumode,5,CVE-2021-27608,(no title),0.928107
2,symlink attack in installer cleanup routine,taumode,6,CVE-2018-3953,(no title),0.927972
2,symlink attack in installer cleanup routine,taumode,7,CVE-2022-30316,(no title),0.927505
2,symlink attack in installer cleanup routine,taumode,8,CVE-2018-12180,(no title),0.927478
2,symlink attack in installer cleanup routine,taumode,9,CVE-2023-39903,(no title),0.927417
2,symlink attack in installer cleanup routine,taumode,10,CVE-2022-30314,(no title),0.927349
2,symlink attack in installer cleanup routine,taumode,11,CVE-2018-12183,(no title),0.927064
2,symlink attack in installer cleanup routine,taumode,12,CVE-2025-34234,Vasion Print (formerly PrinterLogic) Hardcoded Encryption Private Keys,0.926060
2,symlink attack in installer cleanup routine,taumode,13,CVE-2022-30318,(no title),0.925903
2,symlink attack in installer cleanup routine,taumode,14,CVE-2024-43659,Plaintext default credentials in firmware,0.925649
2,symlink attack in installer cleanup routine,taumode,15,CVE-2022-30317,(no title),0.925500
2,symlink attack in installer cleanup routine,taumode,16,CVE-2016-8344,(no title),0.924766
2,symlink attack in installer cleanup routine,taumode,17,CVE-2022-22445,(no title),0.924307
2,symlink attack in installer cleanup routine,taumode,18,CVE-2019-6609,(no title),0.924159
2,symlink attack in installer cleanup routine,taumode,19,CVE-2020-15851,(no title),0.924106
2,symlink attack in installer cleanup routine,taumode,20,CVE-2018-3701,(no title),0.923997
2,symlink attack in installer cleanup routine,taumode,21,CVE-2022-30315,(no title),0.923848
2,symlink attack in installer cleanup routine,taumode,22,CVE-2021-45839,(no title),0.923781
2,symlink attack in installer cleanup routine,taumode,23,CVE-2019-15711,(no title),0.923558
2,symlink attack in installer cleanup routine,taumode,24,CVE-2025-66005,Lack of Authentication in the InputManager D-Bus interface,0.923543
2,symlink attack in installer cleanup routine,taumode,25,CVE-2018-6693,Endpoint Security for Linux Threat Prevention (ENSLTP) privilege escalation vulnerability,0.923478
3,privilege escalation via writable system service configuration,Cosine,1,CVE-2025-37736,Elastic Cloud Enterprise Improper Authorization,0.810879
3,privilege escalation via writable system service configuration,Cosine,2,CVE-2015-2878,(no title),0.799607
3,privilege escalation via writable system service configuration,Cosine,3,CVE-2026-33663,n8n Vulnerable to Credential Theft via Name-Based Resolution and Permission Checker Bypass in Community Edition,0.793079
3,privilege escalation via writable system service configuration,Cosine,4,CVE-2025-23203,Icinga has rest API endpoints accessible to restricted users,0.792604
3,privilege escalation via writable system service configuration,Cosine,5,CVE-2026-31820,Sylius affected by IDOR in Cart and Checkout LiveComponents,0.790258
3,privilege escalation via writable system service configuration,Cosine,6,CVE-2025-61876,(no title),0.789873
3,privilege escalation via writable system service configuration,Cosine,7,CVE-2022-35943,SameSite may allow cross-site request forgery (CSRF) protection to be bypassed,0.789108
3,privilege escalation via writable system service configuration,Cosine,8,CVE-2024-53355,(no title),0.788724
3,privilege escalation via writable system service configuration,Cosine,9,CVE-2008-7092,(no title),0.788226
3,privilege escalation via writable system service configuration,Cosine,10,CVE-2025-70146,(no title),0.787843
3,privilege escalation via writable system service configuration,Cosine,11,CVE-2024-53354,(no title),0.785674
3,privilege escalation via writable system service configuration,Cosine,12,CVE-2025-66490,Traefik doesn't Prevent Path Normalization Bypass in Router + Middleware Rules,0.784823
3,privilege escalation via writable system service configuration,Cosine,13,CVE-2008-5518,(no title),0.784627
3,privilege escalation via writable system service configuration,Cosine,14,CVE-2026-5234,LatePoint <= 5.3.2 - Insecure Direct Object Reference to Unauthenticated Sensitive Financial Data Exposure via Sequential Invoice ID,0.784300
3,privilege escalation via writable system service configuration,Cosine,15,CVE-2026-24516,(no title),0.782631
3,privilege escalation via writable system service configuration,Cosine,16,CVE-2025-41039,Stored Cross-Site Scripting vulnerability in appRain CMF,0.782337
3,privilege escalation via writable system service configuration,Cosine,17,CVE-2026-1525,undici is vulnerable to Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling'),0.782027
3,privilege escalation via writable system service configuration,Cosine,18,CVE-2026-40566,FreeScout vulnerable to SSRF via IMAP/SMTP Connection Test Endpoints,0.781618
3,privilege escalation via writable system service configuration,Cosine,19,CVE-2007-2579,(no title),0.780563
3,privilege escalation via writable system service configuration,Cosine,20,CVE-2026-3045,Appointment Booking Calendar <= 1.6.9.29 - Missing Authorization to Unauthenticated Sensitive Information Exposure via Settings REST API Endpoint,0.779812
3,privilege escalation via writable system service configuration,Cosine,21,CVE-2024-53357,(no title),0.779316
3,privilege escalation via writable system service configuration,Cosine,22,CVE-2025-14802,LearnPress – WordPress LMS Plugin <= 4.3.2.2 - Insecure Direct Object Reference to Authenticated (Instructor+) Teacher Material Deletion,0.779261
3,privilege escalation via writable system service configuration,Cosine,23,CVE-2012-1897,(no title),0.778342
3,privilege escalation via writable system service configuration,Cosine,24,CVE-2008-2043,(no title),0.778052
3,privilege escalation via writable system service configuration,Cosine,25,CVE-2006-3172,(no title),0.777256
3,privilege escalation via writable system service configuration,hybrid,1,CVE-2025-23203,Icinga has rest API endpoints accessible to restricted users,0.834075
3,privilege escalation via writable system service configuration,hybrid,2,CVE-2007-6548,(no title),0.831932
3,privilege escalation via writable system service configuration,hybrid,3,CVE-2024-53354,(no title),0.831383
3,privilege escalation via writable system service configuration,hybrid,4,CVE-2016-10086,(no title),0.828912
3,privilege escalation via writable system service configuration,hybrid,5,CVE-2008-7092,(no title),0.825273
3,privilege escalation via writable system service configuration,hybrid,6,CVE-2025-41039,Stored Cross-Site Scripting vulnerability in appRain CMF,0.824721
3,privilege escalation via writable system service configuration,hybrid,7,CVE-2017-9767,(no title),0.820891
3,privilege escalation via writable system service configuration,hybrid,8,CVE-2011-5298,(no title),0.820352
3,privilege escalation via writable system service configuration,hybrid,9,CVE-2014-9606,(no title),0.820081
3,privilege escalation via writable system service configuration,hybrid,10,CVE-2007-0373,(no title),0.819568
3,privilege escalation via writable system service configuration,hybrid,11,CVE-2011-5230,(no title),0.817008
3,privilege escalation via writable system service configuration,hybrid,12,CVE-2026-40566,FreeScout vulnerable to SSRF via IMAP/SMTP Connection Test Endpoints,0.816331
3,privilege escalation via writable system service configuration,hybrid,13,CVE-2010-1515,(no title),0.815708
3,privilege escalation via writable system service configuration,hybrid,14,CVE-2011-5287,(no title),0.813386
3,privilege escalation via writable system service configuration,hybrid,15,CVE-2025-12030,ACF to REST API <= 3.3.4 - Insecure Direct Object Reference to Authenticated (Contributor+) ACF Field/Option Modification,0.813292
3,privilege escalation via writable system service configuration,hybrid,16,CVE-2015-8125,(no title),0.813113
3,privilege escalation via writable system service configuration,hybrid,17,CVE-2013-6229,(no title),0.812791
3,privilege escalation via writable system service configuration,hybrid,18,CVE-2014-10035,(no title),0.812165
3,privilege escalation via writable system service configuration,hybrid,19,CVE-2014-1671,(no title),0.812154
3,privilege escalation via writable system service configuration,hybrid,20,CVE-2026-3360,Tutor LMS <= 3.9.7 - Missing Authorization to Unauthenticated Arbitrary Billing Profile Overwrite via 'order_id' Parameter,0.811925
3,privilege escalation via writable system service configuration,hybrid,21,CVE-2025-65276,(no title),0.811545
3,privilege escalation via writable system service configuration,hybrid,22,CVE-2007-4523,(no title),0.811331
3,privilege escalation via writable system service configuration,hybrid,23,CVE-2010-4280,(no title),0.810751
3,privilege escalation via writable system service configuration,hybrid,24,CVE-2014-7864,(no title),0.810553
3,privilege escalation via writable system service configuration,hybrid,25,CVE-2022-35942,loopback-connector-postgresql Vulnerable to Improper Sanitization of `contains` Filter,0.810156
3,privilege escalation via writable system service configuration,taumode,1,CVE-2007-6548,(no title),0.900072
3,privilege escalation via writable system service configuration,taumode,2,CVE-2016-10086,(no title),0.896721
3,privilege escalation via writable system service configuration,taumode,3,CVE-2007-0373,(no title),0.888992
3,privilege escalation via writable system service configuration,taumode,4,CVE-2017-9767,(no title),0.888359
3,privilege escalation via writable system service configuration,taumode,5,CVE-2014-9606,(no title),0.887871
3,privilege escalation via writable system service configuration,taumode,6,CVE-2010-4280,(no title),0.887562
3,privilege escalation via writable system service configuration,taumode,7,CVE-2011-5230,(no title),0.886133
3,privilege escalation via writable system service configuration,taumode,8,CVE-2006-5983,(no title),0.885848
3,privilege escalation via writable system service configuration,taumode,9,CVE-2022-35942,loopback-connector-postgresql Vulnerable to Improper Sanitization of `contains` Filter,0.885811
3,privilege escalation via writable system service configuration,taumode,10,CVE-2016-1000307,(no title),0.884971
3,privilege escalation via writable system service configuration,taumode,11,CVE-2005-1291,(no title),0.884720
3,privilege escalation via writable system service configuration,taumode,12,CVE-2011-5298,(no title),0.884559
3,privilege escalation via writable system service configuration,taumode,13,CVE-2018-16448,(no title),0.884448
3,privilege escalation via writable system service configuration,taumode,14,CVE-2014-8577,(no title),0.884283
3,privilege escalation via writable system service configuration,taumode,15,CVE-2014-10035,(no title),0.884236
3,privilege escalation via writable system service configuration,taumode,16,CVE-2024-46937,(no title),0.883302
3,privilege escalation via writable system service configuration,taumode,17,CVE-2026-3532,OpenID Connect / OAuth client - Less critical - Access bypass - SA-CONTRIB-2026-027,0.882226
3,privilege escalation via writable system service configuration,taumode,18,CVE-2013-6229,(no title),0.882178
3,privilege escalation via writable system service configuration,taumode,19,CVE-2026-40581,ChurchCRM: Cross-Site Request Forgery (CSRF) in SelectDelete.php Leading to Permanent Data Deletion,0.882171
3,privilege escalation via writable system service configuration,taumode,20,CVE-2016-0710,(no title),0.882075
3,privilege escalation via writable system service configuration,taumode,21,CVE-2018-11004,(no title),0.881828
3,privilege escalation via writable system service configuration,taumode,22,CVE-2015-4600,(no title),0.881669
3,privilege escalation via writable system service configuration,taumode,23,CVE-2002-0639,(no title),0.881663
3,privilege escalation via writable system service configuration,taumode,24,CVE-2007-4359,(no title),0.880922
3,privilege escalation via writable system service configuration,taumode,25,CVE-2013-3578,(no title),0.880369
4,memory disclosure via uninitialized stack buffer,Cosine,1,CVE-2022-50255,tracing: Fix reading strings from synthetic events,0.840432
4,memory disclosure via uninitialized stack buffer,Cosine,2,CVE-2024-38659,enic: Validate length of nl attributes in enic_set_vf_port,0.826662
4,memory disclosure via uninitialized stack buffer,Cosine,3,CVE-2021-47366,afs: Fix corruption in reads at fpos 2G-4G from an OpenAFS server,0.825471
4,memory disclosure via uninitialized stack buffer,Cosine,4,CVE-2024-47742,firmware_loader: Block path traversal,0.823649
4,memory disclosure via uninitialized stack buffer,Cosine,5,CVE-2023-24827,Credential disclosure in syft when SYFT_ATTEST_PASSWORD environment variable set in syft,0.823332
4,memory disclosure via uninitialized stack buffer,Cosine,6,CVE-2025-62603,FastDDS has Out-of-memory while parsing GenericMessage when DDS Security is enabled,0.823007
4,memory disclosure via uninitialized stack buffer,Cosine,7,CVE-2024-58100,bpf: check changes_pkt_data property for extension programs,0.821655
4,memory disclosure via uninitialized stack buffer,Cosine,8,CVE-2025-40222,tty: serial: sh-sci: fix RSCI FIFO overrun handling,0.821541
4,memory disclosure via uninitialized stack buffer,Cosine,9,CVE-2024-43803,BMO can expose particularly named secrets from other namespaces via BMH CRD,0.820327
4,memory disclosure via uninitialized stack buffer,Cosine,10,CVE-2024-35870,smb: client: fix UAF in smb2_reconnect_server(),0.820299
4,memory disclosure via uninitialized stack buffer,Cosine,11,CVE-2025-38372,RDMA/mlx5: Fix unsafe xarray access in implicit ODP handling,0.820248
4,memory disclosure via uninitialized stack buffer,Cosine,12,CVE-2023-53440,nilfs2: fix sysfs interface lifetime,0.819520
4,memory disclosure via uninitialized stack buffer,Cosine,13,CVE-2025-38692,exfat: add cluster chain loop check for dir,0.819432
4,memory disclosure via uninitialized stack buffer,Cosine,14,CVE-2025-22035,tracing: Fix use-after-free in print_graph_function_flags during tracer switching,0.819357
4,memory disclosure via uninitialized stack buffer,Cosine,15,CVE-2025-37741,jfs: Prevent copying of nlink with value 0 from disk inode,0.818604
4,memory disclosure via uninitialized stack buffer,Cosine,16,CVE-2026-40569,FreeScout's Mass Assignment in Mailbox Connection Settings Enables Silent Email Exfiltration,0.818238
4,memory disclosure via uninitialized stack buffer,Cosine,17,CVE-2023-52933,Squashfs: fix handling and sanity checking of xattr_ids count,0.817843
4,memory disclosure via uninitialized stack buffer,Cosine,18,CVE-2023-53103,bonding: restore bond's IFF_SLAVE flag if a non-eth dev enslave fails,0.817101
4,memory disclosure via uninitialized stack buffer,Cosine,19,CVE-2025-22069,riscv: fgraph: Fix stack layout to match __arch_ftrace_regs argument of ftrace_return_to_handler,0.816812
4,memory disclosure via uninitialized stack buffer,Cosine,20,CVE-2023-53570,wifi: nl80211: fix integer overflow in nl80211_parse_mbssid_elems(),0.816770
4,memory disclosure via uninitialized stack buffer,Cosine,21,CVE-2025-38523,cifs: Fix the smbd_response slab to allow usercopy,0.816717
4,memory disclosure via uninitialized stack buffer,Cosine,22,CVE-2022-49290,mac80211: fix potential double free on mesh join,0.816379
4,memory disclosure via uninitialized stack buffer,Cosine,23,CVE-2025-38416,NFC: nci: uart: Set tty->disc_data only in success path,0.816318
4,memory disclosure via uninitialized stack buffer,Cosine,24,CVE-2022-48833,btrfs: skip reserved bytes warning on unmount after log cleanup failure,0.816107
4,memory disclosure via uninitialized stack buffer,Cosine,25,CVE-2023-29007,Arbitrary configuration injection via `git submodule deinit`,0.815814
