query_id,query_text,tau,k,relevance_recall,qrel_hits,qrel_relevant_count
16,how long does coronavirus remain stable  on surfaces?,0.7,10,1.0,10,387
16,how long does coronavirus remain stable  on surfaces?,0.8,10,1.0,10,387
16,how long does coronavirus remain stable  on surfaces?,1.0,10,1.0,10,387
17,are there any clinical trials available for the coronavirus,0.4,10,0.4,4,668
17,are there any clinical trials available for the coronavirus,0.5,10,0.4,4,668
17,are there any clinical trials available for the coronavirus,0.55,10,0.4,4,668
17,are there any clinical trials available for the coronavirus,0.6,10,0.4,4,668
17,are there any clinical trials available for the coronavirus,0.65,10,0.4,4,668
17,are there any clinical trials available for the coronavirus,0.7,10,0.4,4,668
17,are there any clinical trials available for the coronavirus,0.8,10,0.4,4,668
17,are there any clinical trials available for the coronavirus,1.0,10,0.4,4,668
18,what are the best masks for preventing infection by Covid-19?,0.4,10,0.4,4,628
18,what are the best masks for preventing infection by Covid-19?,0.5,10,0.5,5,628
18,what are the best masks for preventing infection by Covid-19?,0.55,10,0.7,7,628
18,what are the best masks for preventing infection by Covid-19?,0.6,10,0.8,8,628
18,what are the best masks for preventing infection by Covid-19?,0.65,10,0.9,9,628
18,what are the best masks for preventing infection by Covid-19?,0.7,10,0.8,8,628
18,what are the best masks for preventing infection by Covid-19?,0.8,10,0.9,9,628
18,what are the best masks for preventing infection by Covid-19?,1.0,10,0.7,7,628
19,what type of hand sanitizer is needed to destroy Covid-19?,0.4,10,0.8,8,111
19,what type of hand sanitizer is needed to destroy Covid-19?,0.5,10,0.8,8,111
19,what type of hand sanitizer is needed to destroy Covid-19?,0.55,10,0.8,8,111
19,what type of hand sanitizer is needed to destroy Covid-19?,0.6,10,0.8,8,111
19,what type of hand sanitizer is needed to destroy Covid-19?,0.65,10,0.8,8,111
19,what type of hand sanitizer is needed to destroy Covid-19?,0.7,10,0.8,8,111
19,what type of hand sanitizer is needed to destroy Covid-19?,0.8,10,0.8,8,111
19,what type of hand sanitizer is needed to destroy Covid-19?,1.0,10,0.7,7,111
2,how does the coronavirus respond to changes in the weather,0.4,10,0.4,4,314
2,how does the coronavirus respond to changes in the weather,0.5,10,0.4,4,314
2,how does the coronavirus respond to changes in the weather,0.55,10,0.4,4,314
2,how does the coronavirus respond to changes in the weather,0.6,10,0.4,4,314
2,how does the coronavirus respond to changes in the weather,0.65,10,0.5,5,314
2,how does the coronavirus respond to changes in the weather,0.7,10,0.5,5,314
2,how does the coronavirus respond to changes in the weather,0.8,10,0.5,5,314
2,how does the coronavirus respond to changes in the weather,1.0,10,0.4,4,314
20,are patients taking Angiotensin-converting enzyme inhibitors (ACE) at increased risk for COVID-19?,0.4,10,1.0,10,702
20,are patients taking Angiotensin-converting enzyme inhibitors (ACE) at increased risk for COVID-19?,0.5,10,1.0,10,702
20,are patients taking Angiotensin-converting enzyme inhibitors (ACE) at increased risk for COVID-19?,0.55,10,1.0,10,702
20,are patients taking Angiotensin-converting enzyme inhibitors (ACE) at increased risk for COVID-19?,0.6,10,1.0,10,702
20,are patients taking Angiotensin-converting enzyme inhibitors (ACE) at increased risk for COVID-19?,0.65,10,1.0,10,702
20,are patients taking Angiotensin-converting enzyme inhibitors (ACE) at increased risk for COVID-19?,0.7,10,1.0,10,702
20,are patients taking Angiotensin-converting enzyme inhibitors (ACE) at increased risk for COVID-19?,0.8,10,0.9,9,702
20,are patients taking Angiotensin-converting enzyme inhibitors (ACE) at increased risk for COVID-19?,1.0,10,0.9,9,702
21,what are the mortality rates overall and in specific populations,0.4,10,0.4,4,630
21,what are the mortality rates overall and in specific populations,0.5,10,0.4,4,630
21,what are the mortality rates overall and in specific populations,0.55,10,0.4,4,630
21,what are the mortality rates overall and in specific populations,0.6,10,0.4,4,630
21,what are the mortality rates overall and in specific populations,0.65,10,0.4,4,630
21,what are the mortality rates overall and in specific populations,0.7,10,0.4,4,630
21,what are the mortality rates overall and in specific populations,0.8,10,0.4,4,630
21,what are the mortality rates overall and in specific populations,1.0,10,0.3,3,630
22,are cardiac complications likely in patients with COVID-19?,0.4,10,0.3,3,546
22,are cardiac complications likely in patients with COVID-19?,0.5,10,0.4,4,546
22,are cardiac complications likely in patients with COVID-19?,0.55,10,0.5,5,546
22,are cardiac complications likely in patients with COVID-19?,0.6,10,0.5,5,546
22,are cardiac complications likely in patients with COVID-19?,0.65,10,0.5,5,546
22,are cardiac complications likely in patients with COVID-19?,0.7,10,0.4,4,546
22,are cardiac complications likely in patients with COVID-19?,0.8,10,0.4,4,546
22,are cardiac complications likely in patients with COVID-19?,1.0,10,0.4,4,546
23,what kinds of complications related to COVID-19 are associated with hypertension?,0.4,10,0.8,8,371
23,what kinds of complications related to COVID-19 are associated with hypertension?,0.5,10,0.8,8,371
23,what kinds of complications related to COVID-19 are associated with hypertension?,0.55,10,0.7,7,371
23,what kinds of complications related to COVID-19 are associated with hypertension?,0.6,10,0.7,7,371
23,what kinds of complications related to COVID-19 are associated with hypertension?,0.65,10,0.7,7,371
23,what kinds of complications related to COVID-19 are associated with hypertension?,0.7,10,0.7,7,371
23,what kinds of complications related to COVID-19 are associated with hypertension?,0.8,10,0.7,7,371
23,what kinds of complications related to COVID-19 are associated with hypertension?,1.0,10,0.6,6,371
24,what kinds of complications related to COVID-19 are associated with diabetes,0.4,10,0.5,5,404
24,what kinds of complications related to COVID-19 are associated with diabetes,0.5,10,0.5,5,404
24,what kinds of complications related to COVID-19 are associated with diabetes,0.55,10,0.5,5,404
24,what kinds of complications related to COVID-19 are associated with diabetes,0.6,10,0.5,5,404
24,what kinds of complications related to COVID-19 are associated with diabetes,0.65,10,0.5,5,404
24,what kinds of complications related to COVID-19 are associated with diabetes,0.7,10,0.5,5,404
24,what kinds of complications related to COVID-19 are associated with diabetes,0.8,10,0.5,5,404
24,what kinds of complications related to COVID-19 are associated with diabetes,1.0,10,0.5,5,404
25,which biomarkers predict the severe clinical course of 2019-nCOV infection?,0.4,10,0.0,0,529
25,which biomarkers predict the severe clinical course of 2019-nCOV infection?,0.5,10,0.0,0,529
25,which biomarkers predict the severe clinical course of 2019-nCOV infection?,0.55,10,0.0,0,529
25,which biomarkers predict the severe clinical course of 2019-nCOV infection?,0.6,10,0.0,0,529
25,which biomarkers predict the severe clinical course of 2019-nCOV infection?,0.65,10,0.0,0,529
25,which biomarkers predict the severe clinical course of 2019-nCOV infection?,0.7,10,0.0,0,529
25,which biomarkers predict the severe clinical course of 2019-nCOV infection?,0.8,10,0.0,0,529
25,which biomarkers predict the severe clinical course of 2019-nCOV infection?,1.0,10,0.0,0,529
26,what are the initial symptoms of Covid-19?,0.4,10,0.3,3,778
26,what are the initial symptoms of Covid-19?,0.5,10,0.3,3,778
26,what are the initial symptoms of Covid-19?,0.55,10,0.3,3,778
26,what are the initial symptoms of Covid-19?,0.6,10,0.3,3,778
26,what are the initial symptoms of Covid-19?,0.65,10,0.3,3,778
26,what are the initial symptoms of Covid-19?,0.7,10,0.3,3,778
26,what are the initial symptoms of Covid-19?,0.8,10,0.3,3,778
26,what are the initial symptoms of Covid-19?,1.0,10,0.3,3,778
27,what is known about those infected with Covid-19 but are asymptomatic?,0.4,10,0.8,8,849
27,what is known about those infected with Covid-19 but are asymptomatic?,0.5,10,0.8,8,849
27,what is known about those infected with Covid-19 but are asymptomatic?,0.55,10,0.8,8,849
27,what is known about those infected with Covid-19 but are asymptomatic?,0.6,10,0.8,8,849
27,what is known about those infected with Covid-19 but are asymptomatic?,0.65,10,0.8,8,849
27,what is known about those infected with Covid-19 but are asymptomatic?,0.7,10,0.8,8,849
27,what is known about those infected with Covid-19 but are asymptomatic?,0.8,10,0.8,8,849
27,what is known about those infected with Covid-19 but are asymptomatic?,1.0,10,0.8,8,849
28,what evidence is there for the value of hydroxychloroquine in treating Covid-19?,0.4,10,0.6,6,551
28,what evidence is there for the value of hydroxychloroquine in treating Covid-19?,0.5,10,0.6,6,551
28,what evidence is there for the value of hydroxychloroquine in treating Covid-19?,0.55,10,0.6,6,551
28,what evidence is there for the value of hydroxychloroquine in treating Covid-19?,0.6,10,0.6,6,551
28,what evidence is there for the value of hydroxychloroquine in treating Covid-19?,0.65,10,0.6,6,551
28,what evidence is there for the value of hydroxychloroquine in treating Covid-19?,0.7,10,0.6,6,551
28,what evidence is there for the value of hydroxychloroquine in treating Covid-19?,0.8,10,0.6,6,551
28,what evidence is there for the value of hydroxychloroquine in treating Covid-19?,1.0,10,0.6,6,551
29,which SARS-CoV-2 proteins-human proteins interactions indicate potential for drug targets. Are there approved drugs that can be repurposed based on this information?,0.4,10,0.7,7,604
29,which SARS-CoV-2 proteins-human proteins interactions indicate potential for drug targets. Are there approved drugs that can be repurposed based on this information?,0.5,10,0.7,7,604
29,which SARS-CoV-2 proteins-human proteins interactions indicate potential for drug targets. Are there approved drugs that can be repurposed based on this information?,0.55,10,0.7,7,604
29,which SARS-CoV-2 proteins-human proteins interactions indicate potential for drug targets. Are there approved drugs that can be repurposed based on this information?,0.6,10,0.7,7,604
29,which SARS-CoV-2 proteins-human proteins interactions indicate potential for drug targets. Are there approved drugs that can be repurposed based on this information?,0.65,10,0.7,7,604
29,which SARS-CoV-2 proteins-human proteins interactions indicate potential for drug targets. Are there approved drugs that can be repurposed based on this information?,0.7,10,0.7,7,604
29,which SARS-CoV-2 proteins-human proteins interactions indicate potential for drug targets. Are there approved drugs that can be repurposed based on this information?,0.8,10,0.7,7,604
29,which SARS-CoV-2 proteins-human proteins interactions indicate potential for drug targets. Are there approved drugs that can be repurposed based on this information?,1.0,10,0.7,7,604
3,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,0.4,10,0.2,2,628
3,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,0.5,10,0.2,2,628
3,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,0.55,10,0.1,1,628
3,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,0.6,10,0.1,1,628
3,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,0.65,10,0.3,3,628
3,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,0.7,10,0.3,3,628
3,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,0.8,10,0.3,3,628
3,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,1.0,10,0.2,2,628
30,is remdesivir an effective treatment for COVID-19,0.4,10,0.9,9,370
30,is remdesivir an effective treatment for COVID-19,0.5,10,0.9,9,370
30,is remdesivir an effective treatment for COVID-19,0.55,10,0.9,9,370
30,is remdesivir an effective treatment for COVID-19,0.6,10,0.9,9,370
30,is remdesivir an effective treatment for COVID-19,0.65,10,0.9,9,370
30,is remdesivir an effective treatment for COVID-19,0.7,10,0.9,9,370
30,is remdesivir an effective treatment for COVID-19,0.8,10,0.9,9,370
30,is remdesivir an effective treatment for COVID-19,1.0,10,0.9,9,370
31,How does the coronavirus differ from seasonal flu?,0.4,10,0.2,2,353
31,How does the coronavirus differ from seasonal flu?,0.5,10,0.2,2,353
31,How does the coronavirus differ from seasonal flu?,0.55,10,0.2,2,353
31,How does the coronavirus differ from seasonal flu?,0.6,10,0.2,2,353
31,How does the coronavirus differ from seasonal flu?,0.65,10,0.3,3,353
31,How does the coronavirus differ from seasonal flu?,0.7,10,0.3,3,353
31,How does the coronavirus differ from seasonal flu?,0.8,10,0.3,3,353
31,How does the coronavirus differ from seasonal flu?,1.0,10,0.4,4,353
32,"Does SARS-CoV-2 have any subtypes, and if so what are they?",0.4,10,0.0,0,216
32,"Does SARS-CoV-2 have any subtypes, and if so what are they?",0.5,10,0.0,0,216
32,"Does SARS-CoV-2 have any subtypes, and if so what are they?",0.55,10,0.0,0,216
32,"Does SARS-CoV-2 have any subtypes, and if so what are they?",0.6,10,0.0,0,216
32,"Does SARS-CoV-2 have any subtypes, and if so what are they?",0.65,10,0.0,0,216
32,"Does SARS-CoV-2 have any subtypes, and if so what are they?",0.7,10,0.0,0,216
32,"Does SARS-CoV-2 have any subtypes, and if so what are they?",0.8,10,0.0,0,216
32,"Does SARS-CoV-2 have any subtypes, and if so what are they?",1.0,10,0.0,0,216
33,What vaccine candidates are being tested for Covid-19?,0.4,10,0.5,5,281
33,What vaccine candidates are being tested for Covid-19?,0.5,10,0.5,5,281
33,What vaccine candidates are being tested for Covid-19?,0.55,10,0.5,5,281
33,What vaccine candidates are being tested for Covid-19?,0.6,10,0.6,6,281
33,What vaccine candidates are being tested for Covid-19?,0.65,10,0.6,6,281
33,What vaccine candidates are being tested for Covid-19?,0.7,10,0.5,5,281
33,What vaccine candidates are being tested for Covid-19?,0.8,10,0.6,6,281
33,What vaccine candidates are being tested for Covid-19?,1.0,10,0.5,5,281
34,What are the longer-term complications of those who recover from COVID-19?,0.4,10,0.1,1,172
34,What are the longer-term complications of those who recover from COVID-19?,0.5,10,0.0,0,172
34,What are the longer-term complications of those who recover from COVID-19?,0.55,10,0.0,0,172
34,What are the longer-term complications of those who recover from COVID-19?,0.6,10,0.0,0,172
34,What are the longer-term complications of those who recover from COVID-19?,0.65,10,0.0,0,172
34,What are the longer-term complications of those who recover from COVID-19?,0.7,10,0.0,0,172
34,What are the longer-term complications of those who recover from COVID-19?,0.8,10,0.0,0,172
34,What are the longer-term complications of those who recover from COVID-19?,1.0,10,0.0,0,172
35,What new public datasets are available related to COVID-19?,0.4,10,0.1,1,218
35,What new public datasets are available related to COVID-19?,0.5,10,0.1,1,218
35,What new public datasets are available related to COVID-19?,0.55,10,0.1,1,218
35,What new public datasets are available related to COVID-19?,0.6,10,0.1,1,218
35,What new public datasets are available related to COVID-19?,0.65,10,0.1,1,218
35,What new public datasets are available related to COVID-19?,0.7,10,0.1,1,218
35,What new public datasets are available related to COVID-19?,0.8,10,0.1,1,218
35,What new public datasets are available related to COVID-19?,1.0,10,0.0,0,218
36,What is the protein structure of the SARS-CoV-2 spike?,0.4,10,0.6,6,611
36,What is the protein structure of the SARS-CoV-2 spike?,0.5,10,0.6,6,611
36,What is the protein structure of the SARS-CoV-2 spike?,0.55,10,0.6,6,611
36,What is the protein structure of the SARS-CoV-2 spike?,0.6,10,0.6,6,611
36,What is the protein structure of the SARS-CoV-2 spike?,0.65,10,0.6,6,611
36,What is the protein structure of the SARS-CoV-2 spike?,0.7,10,0.6,6,611
36,What is the protein structure of the SARS-CoV-2 spike?,0.8,10,0.6,6,611
36,What is the protein structure of the SARS-CoV-2 spike?,1.0,10,0.6,6,611
37,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,0.4,10,0.5,5,450
37,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,0.5,10,0.5,5,450
37,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,0.55,10,0.5,5,450
37,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,0.6,10,0.5,5,450
37,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,0.65,10,0.5,5,450
37,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,0.7,10,0.5,5,450
37,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,0.8,10,0.5,5,450
37,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,1.0,10,0.6,6,450
38,What is the mechanism of inflammatory response and pathogenesis of COVID-19 cases?,0.4,10,0.6,6,1266
38,What is the mechanism of inflammatory response and pathogenesis of COVID-19 cases?,0.5,10,0.6,6,1266
38,What is the mechanism of inflammatory response and pathogenesis of COVID-19 cases?,0.55,10,0.6,6,1266
38,What is the mechanism of inflammatory response and pathogenesis of COVID-19 cases?,0.6,10,0.6,6,1266
38,What is the mechanism of inflammatory response and pathogenesis of COVID-19 cases?,0.65,10,0.6,6,1266
38,What is the mechanism of inflammatory response and pathogenesis of COVID-19 cases?,0.7,10,0.6,6,1266
38,What is the mechanism of inflammatory response and pathogenesis of COVID-19 cases?,0.8,10,0.6,6,1266
38,What is the mechanism of inflammatory response and pathogenesis of COVID-19 cases?,1.0,10,0.6,6,1266
39,What is the mechanism of cytokine storm syndrome on the COVID-19?,0.4,10,1.0,10,860
39,What is the mechanism of cytokine storm syndrome on the COVID-19?,0.5,10,1.0,10,860
39,What is the mechanism of cytokine storm syndrome on the COVID-19?,0.55,10,1.0,10,860
39,What is the mechanism of cytokine storm syndrome on the COVID-19?,0.6,10,1.0,10,860
39,What is the mechanism of cytokine storm syndrome on the COVID-19?,0.65,10,1.0,10,860
39,What is the mechanism of cytokine storm syndrome on the COVID-19?,0.7,10,1.0,10,860
39,What is the mechanism of cytokine storm syndrome on the COVID-19?,0.8,10,1.0,10,860
39,What is the mechanism of cytokine storm syndrome on the COVID-19?,1.0,10,1.0,10,860
4,what causes death from Covid-19?,0.4,10,0.2,2,529
4,what causes death from Covid-19?,0.5,10,0.3,3,529
4,what causes death from Covid-19?,0.55,10,0.3,3,529
4,what causes death from Covid-19?,0.6,10,0.3,3,529
4,what causes death from Covid-19?,0.65,10,0.3,3,529
4,what causes death from Covid-19?,0.7,10,0.4,4,529
4,what causes death from Covid-19?,0.8,10,0.4,4,529
4,what causes death from Covid-19?,1.0,10,0.4,4,529
40,What are the observed mutations in the SARS-CoV-2 genome and how often do the mutations occur?,0.4,10,0.9,9,556
40,What are the observed mutations in the SARS-CoV-2 genome and how often do the mutations occur?,0.5,10,1.0,10,556
40,What are the observed mutations in the SARS-CoV-2 genome and how often do the mutations occur?,0.55,10,1.0,10,556
40,What are the observed mutations in the SARS-CoV-2 genome and how often do the mutations occur?,0.6,10,1.0,10,556
40,What are the observed mutations in the SARS-CoV-2 genome and how often do the mutations occur?,0.65,10,1.0,10,556
40,What are the observed mutations in the SARS-CoV-2 genome and how often do the mutations occur?,0.7,10,1.0,10,556
40,What are the observed mutations in the SARS-CoV-2 genome and how often do the mutations occur?,0.8,10,1.0,10,556
40,What are the observed mutations in the SARS-CoV-2 genome and how often do the mutations occur?,1.0,10,1.0,10,556
41,What are the impacts of COVID-19 among African-Americans that differ from the rest of the U.S. population?,0.4,10,0.9,9,311
41,What are the impacts of COVID-19 among African-Americans that differ from the rest of the U.S. population?,0.5,10,0.9,9,311
41,What are the impacts of COVID-19 among African-Americans that differ from the rest of the U.S. population?,0.55,10,0.9,9,311
41,What are the impacts of COVID-19 among African-Americans that differ from the rest of the U.S. population?,0.6,10,0.9,9,311
41,What are the impacts of COVID-19 among African-Americans that differ from the rest of the U.S. population?,0.65,10,0.9,9,311
41,What are the impacts of COVID-19 among African-Americans that differ from the rest of the U.S. population?,0.7,10,0.9,9,311
41,What are the impacts of COVID-19 among African-Americans that differ from the rest of the U.S. population?,0.8,10,0.9,9,311
41,What are the impacts of COVID-19 among African-Americans that differ from the rest of the U.S. population?,1.0,10,0.9,9,311
42,Does Vitamin D impact COVID-19 prevention and treatment?,0.4,10,1.0,10,243
42,Does Vitamin D impact COVID-19 prevention and treatment?,0.5,10,1.0,10,243
42,Does Vitamin D impact COVID-19 prevention and treatment?,0.55,10,1.0,10,243
42,Does Vitamin D impact COVID-19 prevention and treatment?,0.6,10,1.0,10,243
42,Does Vitamin D impact COVID-19 prevention and treatment?,0.65,10,1.0,10,243
42,Does Vitamin D impact COVID-19 prevention and treatment?,0.7,10,1.0,10,243
42,Does Vitamin D impact COVID-19 prevention and treatment?,0.8,10,1.0,10,243
42,Does Vitamin D impact COVID-19 prevention and treatment?,1.0,10,1.0,10,243
43,"How has the COVID-19 pandemic impacted violence in society, including violent crimes?",0.4,10,0.1,1,253
43,"How has the COVID-19 pandemic impacted violence in society, including violent crimes?",0.5,10,0.5,5,253
43,"How has the COVID-19 pandemic impacted violence in society, including violent crimes?",0.55,10,0.7,7,253
43,"How has the COVID-19 pandemic impacted violence in society, including violent crimes?",0.6,10,0.7,7,253
43,"How has the COVID-19 pandemic impacted violence in society, including violent crimes?",0.65,10,0.7,7,253
43,"How has the COVID-19 pandemic impacted violence in society, including violent crimes?",0.7,10,0.8,8,253
43,"How has the COVID-19 pandemic impacted violence in society, including violent crimes?",0.8,10,0.8,8,253
43,"How has the COVID-19 pandemic impacted violence in society, including violent crimes?",1.0,10,0.9,9,253
44,How much impact do masks have on preventing the spread of the COVID-19?,0.4,10,0.8,8,483
44,How much impact do masks have on preventing the spread of the COVID-19?,0.5,10,0.8,8,483
44,How much impact do masks have on preventing the spread of the COVID-19?,0.55,10,0.8,8,483
44,How much impact do masks have on preventing the spread of the COVID-19?,0.6,10,0.8,8,483
44,How much impact do masks have on preventing the spread of the COVID-19?,0.65,10,0.8,8,483
44,How much impact do masks have on preventing the spread of the COVID-19?,0.7,10,0.8,8,483
44,How much impact do masks have on preventing the spread of the COVID-19?,0.8,10,0.8,8,483
44,How much impact do masks have on preventing the spread of the COVID-19?,1.0,10,0.8,8,483
45,How has the COVID-19 pandemic impacted mental health?,0.4,10,1.0,10,806
45,How has the COVID-19 pandemic impacted mental health?,0.5,10,1.0,10,806
45,How has the COVID-19 pandemic impacted mental health?,0.55,10,1.0,10,806
45,How has the COVID-19 pandemic impacted mental health?,0.6,10,1.0,10,806
45,How has the COVID-19 pandemic impacted mental health?,0.65,10,1.0,10,806
45,How has the COVID-19 pandemic impacted mental health?,0.7,10,1.0,10,806
45,How has the COVID-19 pandemic impacted mental health?,0.8,10,1.0,10,806
45,How has the COVID-19 pandemic impacted mental health?,1.0,10,1.0,10,806
46,what evidence is there for dexamethasone as a treatment for COVID-19?,0.4,10,0.7,7,182
46,what evidence is there for dexamethasone as a treatment for COVID-19?,0.5,10,0.8,8,182
46,what evidence is there for dexamethasone as a treatment for COVID-19?,0.55,10,0.9,9,182
46,what evidence is there for dexamethasone as a treatment for COVID-19?,0.6,10,0.9,9,182
46,what evidence is there for dexamethasone as a treatment for COVID-19?,0.65,10,0.9,9,182
46,what evidence is there for dexamethasone as a treatment for COVID-19?,0.7,10,0.9,9,182
46,what evidence is there for dexamethasone as a treatment for COVID-19?,0.8,10,0.9,9,182
46,what evidence is there for dexamethasone as a treatment for COVID-19?,1.0,10,0.8,8,182
47,what are the health outcomes for children who contract COVID-19?,0.4,10,0.3,3,420
47,what are the health outcomes for children who contract COVID-19?,0.5,10,0.3,3,420
47,what are the health outcomes for children who contract COVID-19?,0.55,10,0.3,3,420
47,what are the health outcomes for children who contract COVID-19?,0.6,10,0.3,3,420
47,what are the health outcomes for children who contract COVID-19?,0.65,10,0.3,3,420
47,what are the health outcomes for children who contract COVID-19?,0.7,10,0.3,3,420
47,what are the health outcomes for children who contract COVID-19?,0.8,10,0.3,3,420
47,what are the health outcomes for children who contract COVID-19?,1.0,10,0.3,3,420
48,what are the benefits and risks of re-opening schools in the midst of the COVID-19 pandemic?,0.4,10,0.9,9,444
48,what are the benefits and risks of re-opening schools in the midst of the COVID-19 pandemic?,0.5,10,0.9,9,444
48,what are the benefits and risks of re-opening schools in the midst of the COVID-19 pandemic?,0.55,10,0.9,9,444
48,what are the benefits and risks of re-opening schools in the midst of the COVID-19 pandemic?,0.6,10,1.0,10,444
48,what are the benefits and risks of re-opening schools in the midst of the COVID-19 pandemic?,0.65,10,1.0,10,444
48,what are the benefits and risks of re-opening schools in the midst of the COVID-19 pandemic?,0.7,10,1.0,10,444
48,what are the benefits and risks of re-opening schools in the midst of the COVID-19 pandemic?,0.8,10,1.0,10,444
48,what are the benefits and risks of re-opening schools in the midst of the COVID-19 pandemic?,1.0,10,1.0,10,444
49,"do individuals who recover from COVID-19 show sufficient immune response, including antibody levels and T-cell mediated immunity, to prevent re-infection?",0.4,10,0.4,4,247
